student_id,skill_id,correct
0,33,1
0,64,1
0,27,1
0,33,1
0,7,1
0,25,0
0,34,0
0,23,1
0,66,1
0,24,1
0,47,1
0,66,1
0,23,0
0,32,1
0,27,1
0,24,1
0,47,0
0,59,0
0,47,0
0,66,0
0,47,0
0,47,0
0,66,1
0,60,1
0,27,1
0,33,1
0,64,1
0,27,1
0,33,1
0,7,1
0,25,1
0,34,1
0,23,1
0,66,1
0,24,1
0,47,1
0,66,1
0,23,1
0,32,1
0,27,1
0,24,1
0,47,1
0,59,1
0,47,1
0,66,1
0,47,1
0,47,1
0,66,1
0,60,1
0,27,1
0,59,1
0,47,0
0,64,0
0,47,1
0,24,1
0,35,1
0,59,1
0,47,1
0,64,1
0,47,1
0,24,1
0,35,1
0,47,1
0,64,1
0,47,1
0,24,1
0,35,1
0,59,1
0,24,1
0,43,1
0,47,0
0,59,0
0,43,1
0,59,1
0,33,1
0,47,1
0,23,1
0,35,1
0,33,1
0,47,1
0,33,1
0,35,1
0,47,1
0,66,1
0,31,0
0,47,0
0,32,0
0,47,0
0,43,1
0,24,1
0,22,1
0,47,1
0,64,1
0,47,1
0,24,1
0,35,1
0,59,1
0,24,1
0,43,1
0,47,1
0,59,1
0,43,0
0,59,0
0,33,1
0,47,1
0,23,1
0,35,1
0,33,1
0,47,1
0,33,1
0,35,1
0,47,0
0,66,0
0,31,1
0,47,1
0,32,1
0,47,1
0,43,0
0,24,1
0,22,1
0,47,1
0,64,1
0,47,1
0,24,1
0,35,1
0,59,1
0,24,1
0,43,1
0,47,1
0,59,1
0,43,1
0,59,1
0,33,1
0,47,1
0,23,1
0,35,1
0,33,1
0,47,1
0,33,1
0,35,1
0,47,1
0,66,1
0,31,1
0,47,1
0,32,1
0,47,1
0,43,1
0,24,1
0,22,1
1,25,1
1,0,1
1,33,1
1,64,1
1,24,1
1,34,1
1,60,1
1,27,1
1,27,1
1,6,1
1,42,1
1,2,1
1,30,1
1,6,1
1,54,1
1,6,1
1,19,1
1,30,1
1,30,1
1,54,1
1,30,1
1,54,1
1,6,1
1,54,1
1,6,1
1,19,1
1,6,1
1,19,1
1,3,1
1,54,1
1,54,1
1,54,1
1,45,1
1,26,1
